Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,7636.620117,7643.660156,7501.560059,7577.569824,7577.569824,2582090000
2019-03-05,7582.290039,7598.660156,7543.540039,7576.359863,7576.359863,2166670000
2019-03-06,7575.379883,7579.020020,7499.870117,7505.919922,7505.919922,2256550000
2019-03-07,7483.790039,7489.080078,7397.189941,7421.459961,7421.459961,2462690000
2019-03-08,7334.350098,7411.520020,7332.919922,7408.140137,7408.140137,2260950000
2019-03-11,7442.560059,7558.229980,7442.399902,7558.060059,7558.060059,2248460000
2019-03-12,7571.850098,7611.129883,7560.459961,7591.029785,7591.029785,2171620000
2019-03-13,7621.379883,7677.069824,7619.459961,7643.410156,7643.410156,2379260000
2019-03-14,7644.790039,7653.100098,7627.020020,7630.910156,7630.910156,2198900000
2019-03-15,7658.410156,7714.959961,7652.040039,7688.529785,7688.529785,3451860000
2019-03-18,7696.379883,7737.669922,7677.740234,7714.479980,7714.479980,2302140000
2019-03-19,7747.399902,7767.890137,7699.149902,7723.950195,7723.950195,2457920000
2019-03-20,7721.950195,7779.240234,7674.040039,7728.970215,7728.970215,2464230000
2019-03-21,7705.430176,7850.109863,7705.430176,7838.959961,7838.959961,2502810000
2019-03-22,7800.250000,7817.830078,7642.569824,7642.669922,7642.669922,2504740000
2019-03-25,7618.979980,7662.379883,7579.290039,7637.540039,7637.540039,2162490000
2019-03-26,7700.000000,7738.169922,7649.209961,7691.520020,7691.520020,2080350000
2019-03-27,7702.049805,7712.839844,7582.089844,7643.379883,7643.379883,2244070000
2019-03-28,7660.069824,7689.160156,7619.819824,7669.169922,7669.169922,1922150000
2019-03-29,7726.709961,7733.620117,7688.509766,7729.319824,7729.319824,2311790000
2019-04-01,7800.240234,7831.450195,7777.089844,7828.910156,7828.910156,2230050000
2019-04-02,7824.609863,7854.919922,7811.279785,7848.689941,7848.689941,2123250000
2019-04-03,7891.180176,7938.259766,7870.899902,7895.549805,7895.549805,2509630000
2019-04-04,7894.259766,7917.649902,7844.959961,7891.779785,7891.779785,2152640000
2019-04-05,7914.509766,7940.450195,7909.140137,7938.689941,7938.689941,2157050000
2019-04-08,7924.890137,7955.899902,7891.850098,7953.879883,7953.879883,2075550000
2019-04-09,7924.770020,7945.549805,7897.609863,7909.279785,7909.279785,2078800000
2019-04-10,7922.729980,7965.330078,7916.899902,7964.240234,7964.240234,2012290000
2019-04-11,7975.200195,7975.200195,7933.410156,7947.359863,7947.359863,1969480000
2019-04-12,7984.149902,7992.089844,7952.609863,7984.160156,7984.160156,1968900000
2019-04-15,7987.160156,7993.330078,7933.569824,7976.009766,7976.009766,1827710000
2019-04-16,8000.569824,8017.560059,7978.810059,8000.229980,8000.229980,2102740000
2019-04-17,8044.970215,8052.399902,7973.379883,7996.080078,7996.080078,2317330000
2019-04-18,7998.450195,8002.310059,7950.970215,7998.060059,7998.060059,2124630000
2019-04-22,7969.370117,8017.149902,7965.899902,8015.270020,8015.270020,1790990000
2019-04-23,8026.750000,8128.870117,8023.810059,8120.819824,8120.819824,2099410000
2019-04-24,8122.879883,8139.549805,8101.700195,8102.009766,8102.009766,2043310000
2019-04-25,8150.850098,8151.839844,8075.410156,8118.680176,8118.680176,2073370000
2019-04-26,8100.279785,8146.419922,8060.890137,8146.399902,8146.399902,1982560000
2019-04-29,8147.649902,8176.080078,8136.410156,8161.850098,8161.850098,1781860000
2019-04-30,8104.910156,8124.609863,8050.549805,8095.390137,8095.390137,2131850000
2019-05-01,8132.930176,8146.000000,8048.229980,8049.640137,8049.640137,2273540000
2019-05-02,8046.479980,8094.060059,7976.770020,8036.770020,8036.770020,2211530000
2019-05-03,8092.879883,8164.709961,8084.799805,8164.000000,8164.000000,2081080000
2019-05-06,7981.850098,8135.540039,7981.850098,8123.290039,8123.290039,1979650000
2019-05-07,8043.520020,8070.970215,7899.020020,7963.759766,7963.759766,2397600000
2019-05-08,7946.240234,8004.490234,7923.350098,7943.319824,7943.319824,2214680000
2019-05-09,7853.209961,7929.779785,7796.160156,7910.589844,7910.589844,2549500000
2019-05-10,7881.310059,7949.339844,7759.339844,7916.939941,7916.939941,2421470000
2019-05-13,7720.069824,7760.830078,7627.220215,7647.020020,7647.020020,2484820000
2019-05-14,7689.660156,7776.200195,7665.299805,7734.490234,7734.490234,2103140000
2019-05-15,7682.799805,7838.720215,7682.240234,7822.149902,7822.149902,2014080000
2019-05-16,7832.580078,7946.229980,7826.669922,7898.049805,7898.049805,2168720000
2019-05-17,7829.029785,7918.709961,7810.350098,7816.279785,7816.279785,2176380000
2019-05-20,7714.060059,7747.270020,7678.350098,7702.379883,7702.379883,2130700000
2019-05-21,7765.569824,7804.439941,7752.919922,7785.720215,7785.720215,2000130000
2019-05-22,7749.799805,7786.330078,7738.350098,7750.839844,7750.839844,1884660000
2019-05-23,7660.720215,7665.149902,7585.319824,7628.279785,7628.279785,2270530000
2019-05-24,7675.569824,7694.149902,7631.250000,7637.009766,7637.009766,1685230000
2019-05-28,7655.660156,7693.740234,7603.759766,7607.350098,7607.350098,2378470000
2019-05-29,7553.020020,7581.109863,7503.939941,7547.310059,7547.310059,2282120000
2019-05-30,7565.459961,7595.899902,7527.660156,7567.720215,7567.720215,1875180000
2019-05-31,7470.950195,7506.859863,7448.229980,7453.149902,7453.149902,2239420000
2019-06-03,7441.209961,7457.660156,7292.220215,7333.020020,7333.020020,2580670000
2019-06-04,7413.939941,7529.500000,7385.020020,7527.120117,7527.120117,2374130000
2019-06-05,7585.680176,7589.470215,7498.169922,7575.479980,7575.479980,2139290000
2019-06-06,7582.240234,7634.120117,7546.220215,7615.549805,7615.549805,2093470000
2019-06-07,7652.970215,7767.020020,7647.910156,7742.100098,7742.100098,2074120000
2019-06-10,7798.870117,7895.439941,7795.759766,7823.169922,7823.169922,2042340000
2019-06-11,7901.040039,7909.990234,7798.629883,7822.569824,7822.569824,2121150000
2019-06-12,7803.129883,7819.160156,7773.970215,7792.720215,7792.720215,1978930000
2019-06-13,7822.560059,7848.359863,7813.600098,7837.129883,7837.129883,1848360000
2019-06-14,7807.189941,7819.209961,7778.120117,7796.660156,7796.660156,1808370000
2019-06-17,7819.430176,7865.979980,7812.609863,7845.020020,7845.020020,1950550000
2019-06-18,7920.979980,8005.209961,7911.669922,7953.879883,7953.879883,2250550000
2019-06-19,7970.259766,7998.589844,7930.379883,7987.319824,7987.319824,2027520000
2019-06-20,8087.450195,8088.879883,7996.870117,8051.339844,8051.339844,2108250000
2019-06-21,8028.689941,8073.020020,8011.200195,8031.709961,8031.709961,2909540000
2019-06-24,8040.580078,8047.560059,8004.629883,8005.700195,8005.700195,2073470000
2019-06-25,8005.270020,8007.310059,7879.149902,7884.720215,7884.720215,2132550000
2019-06-26,7933.919922,7974.279785,7903.069824,7909.970215,7909.970215,2122730000
2019-06-27,7939.359863,7976.580078,7935.470215,7967.759766,7967.759766,2083920000
2019-06-28,7988.759766,8010.149902,7961.459961,8006.240234,8006.240234,4101490000
2019-07-01,8145.850098,8150.450195,8059.290039,8091.160156,8091.160156,2219030000
2019-07-02,8086.649902,8109.370117,8063.109863,8109.089844,8109.089844,1956590000
2019-07-03,8129.569824,8170.229980,8122.339844,8170.229980,8170.229980,1548240000
2019-07-05,8123.279785,8171.970215,8093.660156,8161.790039,8161.790039,1690700000
2019-07-08,8112.910156,8161.790039,8078.390137,8098.379883,8098.379883,1957160000
2019-07-09,8061.410156,8146.979980,8061.319824,8141.729980,8141.729980,1871430000
2019-07-10,8183.189941,8228.599609,8160.560059,8202.530273,8202.530273,2066640000
2019-07-11,8219.280273,8226.179688,8171.629883,8196.040039,8196.040039,1970690000
2019-07-12,8209.200195,8245.660156,8201.519531,8244.139648,8244.139648,1835960000
2019-07-15,8263.179688,8264.780273,8236.269531,8258.190430,8258.190430,1790770000
2019-07-16,8251.660156,8259.750000,8204.230469,8222.799805,8222.799805,1947010000
2019-07-17,8224.000000,8230.669922,8184.660156,8185.209961,8185.209961,1887120000
2019-07-18,8151.759766,8215.580078,8135.120117,8207.240234,8207.240234,2063790000
2019-07-19,8241.339844,8245.780273,8144.629883,8146.490234,8146.490234,1893050000
2019-07-22,8171.990234,8218.419922,8171.540039,8204.139648,8204.139648,1860440000
2019-07-23,8242.500000,8251.830078,8193.889648,8251.400391,8251.400391,1845050000
2019-07-24,8227.360352,8321.809570,8226.500000,8321.500000,8321.500000,1953670000
2019-07-25,8294.679688,8295.950195,8233.400391,8238.540039,8238.540039,2058090000
2019-07-26,8294.299805,8339.639648,8291.120117,8330.209961,8330.209961,1975110000
2019-07-29,8325.099609,8325.280273,8247.370117,8293.330078,8293.330078,1882980000
2019-07-30,8231.769531,8295.459961,8228.019531,8273.610352,8273.610352,1893610000
2019-07-31,8290.799805,8299.830078,8110.020020,8175.419922,8175.419922,2679230000
2019-08-01,8190.560059,8311.040039,8080.520020,8111.120117,8111.120117,2815420000
2019-08-02,8056.419922,8068.799805,7953.669922,8004.069824,8004.069824,2262550000
2019-08-05,7823.330078,7836.450195,7662.899902,7726.040039,7726.040039,2661780000
2019-08-06,7804.509766,7845.009766,7739.569824,7833.270020,7833.270020,2217620000
2019-08-07,7747.270020,7881.379883,7702.419922,7862.830078,7862.830078,2470170000
2019-08-08,7921.589844,8041.120117,7896.149902,8039.160156,8039.160156,2442950000
2019-08-09,7997.189941,8020.560059,7910.350098,7959.140137,7959.140137,2221180000
2019-08-12,7907.490234,7924.990234,7833.790039,7863.410156,7863.410156,2068920000
2019-08-13,7852.370117,8065.240234,7851.580078,8016.359863,8016.359863,2353570000
2019-08-14,7877.330078,7900.279785,7762.870117,7773.939941,7773.939941,2543670000
2019-08-15,7790.200195,7805.930176,7716.549805,7766.620117,7766.620117,2190810000
2019-08-16,7828.350098,7907.520020,7828.350098,7895.990234,7895.990234,2018710000
2019-08-19,8006.180176,8026.750000,7895.990234,8002.810059,8002.810059,1946440000
2019-08-20,7989.359863,8010.580078,7948.089844,7948.560059,7948.560059,1750730000
2019-08-21,8017.069824,8036.939941,7998.500000,8020.209961,8020.209961,1721410000
2019-08-22,8038.790039,8048.580078,7937.120117,7991.390137,7991.390137,1780760000
2019-08-23,7943.649902,8005.339844,7730.770020,7751.770020,7751.770020,2214370000
2019-08-26,7829.580078,7856.040039,7789.049805,7853.740234,7853.740234,1691990000
2019-08-27,7908.779785,7916.830078,7795.180176,7826.950195,7826.950195,1914930000
2019-08-28,7798.350098,7866.870117,7766.669922,7856.879883,7856.879883,1663450000
2019-08-29,7945.779785,7992.290039,7925.830078,7973.390137,7973.390137,1703760000
2019-08-30,8015.160156,8017.910156,7914.740234,7962.879883,7962.879883,1668110000
2019-09-03,7906.439941,7940.370117,7847.319824,7874.160156,7874.160156,1938780000
2019-09-04,7949.810059,7981.410156,7928.939941,7976.879883,7976.879883,1893740000
2019-09-05,8061.290039,8134.419922,8061.290039,8116.830078,8116.830078,2108700000
2019-09-06,8125.580078,8134.390137,8098.520020,8103.069824,8103.069824,1878730000
2019-09-09,8130.910156,8131.660156,8052.339844,8087.439941,8087.439941,2186660000
2019-09-10,8049.979980,8086.529785,8001.680176,8084.160156,8084.160156,2366080000
2019-09-11,8091.680176,8169.680176,8081.560059,8169.680176,8169.680176,2322610000
